assay_description,document_chembl_id,molecule_chembl_id,standard_units,standard_value,units,value,molecule_properties,pKi
Inhibition of human AChE using acetylthiocholine as substrate after 4 hrs by robotic spectrophotometric assay,CHEMBL3232718,CHEMBL3235226,nM,298300.0,uM,298.3,"{'alogp': '3.67', 'aromatic_rings': 2, 'full_molformula': 'C20H22ClN3O3', 'full_mwt': '387.87', 'hba': 6, 'hbd': 1, 'heavy_atoms': 27, 'mw_freebase': '387.87', 'np_likeness_score': '-1.84', 'num_ro5_violations': 0, 'psa': '75.02', 'qed_weighted': '0.34', 'ro3_pass': 'N', 'rtb': 7}",3.525346746637937
Inhibition of human AChE using acetylthiocholine as substrate after 4 hrs by robotic spectrophotometric assay,CHEMBL3232718,CHEMBL3235227,nM,55180.0,uM,55.18,"{'alogp': '2.41', 'aromatic_rings': 2, 'full_molformula': 'C19H22N4O3', 'full_mwt': '354.41', 'hba': 7, 'hbd': 1, 'heavy_atoms': 26, 'mw_freebase': '354.41', 'np_likeness_score': '-1.11', 'num_ro5_violations': 0, 'psa': '87.91', 'qed_weighted': '0.36', 'ro3_pass': 'N', 'rtb': 7}",4.258218303856833
Inhibition of human AChE using acetylthiocholine as substrate after 4 hrs by robotic spectrophotometric assay,CHEMBL3232718,CHEMBL3235228,nM,285600.0,uM,285.6,"{'alogp': '3.05', 'aromatic_rings': 2, 'full_molformula': 'C20H24N4O2', 'full_mwt': '352.44', 'hba': 6, 'hbd': 2, 'heavy_atoms': 26, 'mw_freebase': '352.44', 'np_likeness_score': '-1.25', 'num_ro5_violations': 0, 'psa': '77.82', 'qed_weighted': '0.35', 'ro3_pass': 'N', 'rtb': 7}",3.544241796895863
Inhibition of human AChE using acetylthiocholine as substrate after 4 hrs by robotic spectrophotometric assay,CHEMBL3232718,CHEMBL3235229,nM,344800.0,uM,344.8,"{'alogp': '3.03', 'aromatic_rings': 2, 'full_molformula': 'C22H27N3O5', 'full_mwt': '413.47', 'hba': 8, 'hbd': 1, 'heavy_atoms': 30, 'mw_freebase': '413.47', 'np_likeness_score': '-1.27', 'num_ro5_violations': 0, 'psa': '93.48', 'qed_weighted': '0.29', 'ro3_pass': 'N', 'rtb': 9}",3.4624327428473247
Inhibition of human AChE using acetylthiocholine as substrate after 4 hrs by robotic spectrophotometric assay,CHEMBL3232718,CHEMBL3235230,nM,232600.0,uM,232.6,"{'alogp': '3.18', 'aromatic_rings': 2, 'full_molformula': 'C22H27N3O5', 'full_mwt': '413.47', 'hba': 8, 'hbd': 1, 'heavy_atoms': 30, 'mw_freebase': '413.47', 'np_likeness_score': '-1.05', 'num_ro5_violations': 0, 'psa': '93.48', 'qed_weighted': '0.29', 'ro3_pass': 'N', 'rtb': 9}",3.6333902896075703
Inhibition of human AChE using acetylthiocholine as substrate after 4 hrs by robotic spectrophotometric assay,CHEMBL3232718,CHEMBL3235231,nM,550600.0,uM,550.6,"{'alogp': '3.16', 'aromatic_rings': 2, 'full_molformula': 'C20H23N3O3', 'full_mwt': '353.42', 'hba': 6, 'hbd': 1, 'heavy_atoms': 26, 'mw_freebase': '353.42', 'np_likeness_score': '-1.23', 'num_ro5_violations': 0, 'psa': '75.02', 'qed_weighted': '0.36', 'ro3_pass': 'N', 'rtb': 7}",3.2591637929426884
Inhibition of human AChE using acetylthiocholine as substrate after 4 hrs by robotic spectrophotometric assay,CHEMBL3232718,CHEMBL3235232,nM,137400.0,uM,137.4,"{'alogp': '2.63', 'aromatic_rings': 2, 'full_molformula': 'C19H21N3O3', 'full_mwt': '339.40', 'hba': 6, 'hbd': 1, 'heavy_atoms': 25, 'mw_freebase': '339.40', 'np_likeness_score': '-1.58', 'num_ro5_violations': 0, 'psa': '75.02', 'qed_weighted': '0.36', 'ro3_pass': 'N', 'rtb': 7}",3.862013267276468
Inhibition of human AChE using acetylthiocholine as substrate after 4 hrs by robotic spectrophotometric assay,CHEMBL3232718,CHEMBL3235233,nM,2517000.0,uM,2517.0,"{'alogp': '2.64', 'aromatic_rings': 2, 'full_molformula': 'C21H25N3O5', 'full_mwt': '399.45', 'hba': 8, 'hbd': 1, 'heavy_atoms': 29, 'mw_freebase': '399.45', 'np_likeness_score': '-1.35', 'num_ro5_violations': 0, 'psa': '93.48', 'qed_weighted': '0.30', 'ro3_pass': 'N', 'rtb': 9}",2.5991167844516374
Inhibition of human AChE using acetylthiocholine as substrate after 4 hrs by robotic spectrophotometric assay,CHEMBL3232718,CHEMBL3235234,nM,266000.0,uM,266.0,"{'alogp': '3.18', 'aromatic_rings': 2, 'full_molformula': 'C19H23N3O2', 'full_mwt': '325.41', 'hba': 5, 'hbd': 1, 'heavy_atoms': 24, 'mw_freebase': '325.41', 'np_likeness_score': '-1.58', 'num_ro5_violations': 0, 'psa': '57.95', 'qed_weighted': '0.50', 'ro3_pass': 'N', 'rtb': 6}",3.575118363368933
Inhibition of human AChE using acetylthiocholine as substrate after 4 hrs by robotic spectrophotometric assay,CHEMBL3232718,CHEMBL3235235,nM,198500.0,uM,198.5,"{'alogp': '2.58', 'aromatic_rings': 2, 'full_molformula': 'C18H22N4O2', 'full_mwt': '326.40', 'hba': 6, 'hbd': 1, 'heavy_atoms': 24, 'mw_freebase': '326.40', 'np_likeness_score': '-1.16', 'num_ro5_violations': 0, 'psa': '70.84', 'qed_weighted': '0.50', 'ro3_pass': 'N', 'rtb': 6}",3.702239488900866
Inhibition of human recombinant AChE using acetylthiocholine iodide as substrate assessed as dissociation constant for enzyme-inhibitor complex by Lineweaver-Burk plot analysis,CHEMBL3232829,CHEMBL3233832,nM,2.65,nM,2.65,"{'alogp': '8.64', 'aromatic_rings': 4, 'full_molformula': 'C41H43Cl2N3O5', 'full_mwt': '728.72', 'hba': 7, 'hbd': 4, 'heavy_atoms': 50, 'mw_freebase': '692.26', 'np_likeness_score': '0.19', 'num_ro5_violations': 2, 'psa': '128.62', 'qed_weighted': '0.08', 'ro3_pass': 'N', 'rtb': 12}",8.576754126063193
Inhibition of human recombinant AChE using acetylthiocholine iodide as substrate assessed as dissociation constant for enzyme-substrate-inhibitor complex by Lineweaver-Burk plot analysis,CHEMBL3232829,CHEMBL3233832,nM,3.41,nM,3.41,"{'alogp': '8.64', 'aromatic_rings': 4, 'full_molformula': 'C41H43Cl2N3O5', 'full_mwt': '728.72', 'hba': 7, 'hbd': 4, 'heavy_atoms': 50, 'mw_freebase': '692.26', 'np_likeness_score': '0.19', 'num_ro5_violations': 2, 'psa': '128.62', 'qed_weighted': '0.08', 'ro3_pass': 'N', 'rtb': 12}",8.467245621007502
Inhibition of human AChE assessed as acetylthiocholine hydrolysis,CHEMBL3352817,CHEMBL3327249,nM,78.2,nM,78.2,"{'alogp': '6.91', 'aromatic_rings': 4, 'full_molformula': 'C31H32F3N3O4', 'full_mwt': '567.61', 'hba': 6, 'hbd': 2, 'heavy_atoms': 41, 'mw_freebase': '567.61', 'np_likeness_score': '-0.88', 'num_ro5_violations': 2, 'psa': '93.46', 'qed_weighted': '0.15', 'ro3_pass': 'N', 'rtb': 11}",7.106793246940152
Inhibition of human AChE assessed as acetylthiocholine hydrolysis,CHEMBL3352817,CHEMBL3327248,nM,91.1,nM,91.1,"{'alogp': '6.03', 'aromatic_rings': 4, 'full_molformula': 'C32H37N3O5', 'full_mwt': '543.66', 'hba': 7, 'hbd': 2, 'heavy_atoms': 40, 'mw_freebase': '543.66', 'np_likeness_score': '-0.56', 'num_ro5_violations': 2, 'psa': '102.69', 'qed_weighted': '0.17', 'ro3_pass': 'N', 'rtb': 12}",7.040481623027001
Inhibition of human AChE assessed as acetylthiocholine hydrolysis,CHEMBL3352817,CHEMBL3327247,nM,66.1,nM,66.1,"{'alogp': '6.32', 'aromatic_rings': 4, 'full_molformula': 'C31H35N3O3', 'full_mwt': '497.64', 'hba': 5, 'hbd': 2, 'heavy_atoms': 37, 'mw_freebase': '497.64', 'np_likeness_score': '-0.84', 'num_ro5_violations': 1, 'psa': '84.23', 'qed_weighted': '0.20', 'ro3_pass': 'N', 'rtb': 10}",7.179798540514359
Inhibition of human AChE assessed as acetylthiocholine hydrolysis,CHEMBL3352817,CHEMBL3327246,nM,50.7,nM,50.7,"{'alogp': '6.02', 'aromatic_rings': 4, 'full_molformula': 'C31H35N3O4', 'full_mwt': '513.64', 'hba': 6, 'hbd': 2, 'heavy_atoms': 38, 'mw_freebase': '513.64', 'np_likeness_score': '-0.75', 'num_ro5_violations': 2, 'psa': '93.46', 'qed_weighted': '0.19', 'ro3_pass': 'N', 'rtb': 11}",7.294992040666664
Inhibition of human AChE assessed as acetylthiocholine hydrolysis,CHEMBL3352817,CHEMBL3326711,nM,55.2,nM,55.2,"{'alogp': '6.02', 'aromatic_rings': 4, 'full_molformula': 'C31H35N3O4', 'full_mwt': '513.64', 'hba': 6, 'hbd': 2, 'heavy_atoms': 38, 'mw_freebase': '513.64', 'np_likeness_score': '-0.68', 'num_ro5_violations': 2, 'psa': '93.46', 'qed_weighted': '0.19', 'ro3_pass': 'N', 'rtb': 11}",7.2580609222708015
Inhibition of human AChE assessed as acetylthiocholine hydrolysis,CHEMBL3352817,CHEMBL3326710,nM,42.2,nM,42.2,"{'alogp': '6.01', 'aromatic_rings': 4, 'full_molformula': 'C30H33N3O3', 'full_mwt': '483.61', 'hba': 5, 'hbd': 2, 'heavy_atoms': 36, 'mw_freebase': '483.61', 'np_likeness_score': '-0.78', 'num_ro5_violations': 1, 'psa': '84.23', 'qed_weighted': '0.21', 'ro3_pass': 'N', 'rtb': 10}",7.374687549038326
Inhibition of human AChE assessed as acetylthiocholine hydrolysis,CHEMBL3352817,CHEMBL3326709,nM,59.6,nM,59.6,"{'alogp': '6.52', 'aromatic_rings': 4, 'full_molformula': 'C30H30F3N3O4', 'full_mwt': '553.58', 'hba': 6, 'hbd': 2, 'heavy_atoms': 40, 'mw_freebase': '553.58', 'np_likeness_score': '-0.90', 'num_ro5_violations': 2, 'psa': '93.46', 'qed_weighted': '0.17', 'ro3_pass': 'N', 'rtb': 10}",7.2247537402597635
Inhibition of human AChE assessed as acetylthiocholine hydrolysis,CHEMBL3352817,CHEMBL3326708,nM,56.1,nM,56.1,"{'alogp': '5.64', 'aromatic_rings': 4, 'full_molformula': 'C31H35N3O5', 'full_mwt': '529.64', 'hba': 7, 'hbd': 2, 'heavy_atoms': 39, 'mw_freebase': '529.64', 'np_likeness_score': '-0.58', 'num_ro5_violations': 2, 'psa': '102.69', 'qed_weighted': '0.19', 'ro3_pass': 'N', 'rtb': 11}",7.251037138743839
Inhibition of human AChE assessed as acetylthiocholine hydrolysis,CHEMBL3352817,CHEMBL3326707,nM,30.1,nM,30.1,"{'alogp': '5.93', 'aromatic_rings': 4, 'full_molformula': 'C30H33N3O3', 'full_mwt': '483.61', 'hba': 5, 'hbd': 2, 'heavy_atoms': 36, 'mw_freebase': '483.61', 'np_likeness_score': '-0.87', 'num_ro5_violations': 1, 'psa': '84.23', 'qed_weighted': '0.23', 'ro3_pass': 'N', 'rtb': 9}",7.521433504406157
Inhibition of human AChE assessed as acetylthiocholine hydrolysis,CHEMBL3352817,CHEMBL3326706,nM,24.3,nM,24.3,"{'alogp': '5.63', 'aromatic_rings': 4, 'full_molformula': 'C30H33N3O4', 'full_mwt': '499.61', 'hba': 6, 'hbd': 2, 'heavy_atoms': 37, 'mw_freebase': '499.61', 'np_likeness_score': '-0.77', 'num_ro5_violations': 1, 'psa': '93.46', 'qed_weighted': '0.22', 'ro3_pass': 'N', 'rtb': 10}",7.614393726401688
Inhibition of human AChE assessed as acetylthiocholine hydrolysis,CHEMBL3352817,CHEMBL3326705,nM,30.9,nM,30.9,"{'alogp': '5.63', 'aromatic_rings': 4, 'full_molformula': 'C30H33N3O4', 'full_mwt': '499.61', 'hba': 6, 'hbd': 2, 'heavy_atoms': 37, 'mw_freebase': '499.61', 'np_likeness_score': '-0.70', 'num_ro5_violations': 1, 'psa': '93.46', 'qed_weighted': '0.22', 'ro3_pass': 'N', 'rtb': 10}",7.510041520575165
Inhibition of human AChE assessed as acetylthiocholine hydrolysis,CHEMBL3352817,CHEMBL3326704,nM,16.7,nM,16.7,"{'alogp': '5.62', 'aromatic_rings': 4, 'full_molformula': 'C29H31N3O3', 'full_mwt': '469.59', 'hba': 5, 'hbd': 2, 'heavy_atoms': 35, 'mw_freebase': '469.59', 'np_likeness_score': '-0.80', 'num_ro5_violations': 1, 'psa': '84.23', 'qed_weighted': '0.25', 'ro3_pass': 'N', 'rtb': 9}",7.777283528852417
Inhibition of human AChE assessed as acetylthiocholine hydrolysis,CHEMBL3352817,CHEMBL3326703,nM,76.1,nM,76.1,"{'alogp': '6.13', 'aromatic_rings': 4, 'full_molformula': 'C29H28F3N3O4', 'full_mwt': '539.55', 'hba': 6, 'hbd': 2, 'heavy_atoms': 39, 'mw_freebase': '539.55', 'np_likeness_score': '-0.92', 'num_ro5_violations': 2, 'psa': '93.46', 'qed_weighted': '0.20', 'ro3_pass': 'N', 'rtb': 9}",7.118615343229427
Inhibition of human AChE assessed as acetylthiocholine hydrolysis,CHEMBL3352817,CHEMBL3326702,nM,70.0,nM,70.0,"{'alogp': '5.25', 'aromatic_rings': 4, 'full_molformula': 'C30H33N3O5', 'full_mwt': '515.61', 'hba': 7, 'hbd': 2, 'heavy_atoms': 38, 'mw_freebase': '515.61', 'np_likeness_score': '-0.59', 'num_ro5_violations': 2, 'psa': '102.69', 'qed_weighted': '0.22', 'ro3_pass': 'N', 'rtb': 10}",7.154901959985743
Inhibition of human AChE assessed as acetylthiocholine hydrolysis,CHEMBL3352817,CHEMBL3326701,nM,35.8,nM,35.8,"{'alogp': '5.54', 'aromatic_rings': 4, 'full_molformula': 'C29H31N3O3', 'full_mwt': '469.59', 'hba': 5, 'hbd': 2, 'heavy_atoms': 35, 'mw_freebase': '469.59', 'np_likeness_score': '-0.89', 'num_ro5_violations': 1, 'psa': '84.23', 'qed_weighted': '0.26', 'ro3_pass': 'N', 'rtb': 8}",7.446116973356125
Inhibition of human AChE assessed as acetylthiocholine hydrolysis,CHEMBL3352817,CHEMBL3326700,nM,39.4,nM,39.4,"{'alogp': '5.24', 'aromatic_rings': 4, 'full_molformula': 'C29H31N3O4', 'full_mwt': '485.58', 'hba': 6, 'hbd': 2, 'heavy_atoms': 36, 'mw_freebase': '485.58', 'np_likeness_score': '-0.79', 'num_ro5_violations': 1, 'psa': '93.46', 'qed_weighted': '0.25', 'ro3_pass': 'N', 'rtb': 9}",7.404503778174426
Inhibition of human AChE assessed as acetylthiocholine hydrolysis,CHEMBL3352817,CHEMBL3326699,nM,44.3,nM,44.3,"{'alogp': '5.24', 'aromatic_rings': 4, 'full_molformula': 'C29H31N3O4', 'full_mwt': '485.58', 'hba': 6, 'hbd': 2, 'heavy_atoms': 36, 'mw_freebase': '485.58', 'np_likeness_score': '-0.72', 'num_ro5_violations': 1, 'psa': '93.46', 'qed_weighted': '0.25', 'ro3_pass': 'N', 'rtb': 9}",7.3535962737769305
Inhibition of human AChE assessed as acetylthiocholine hydrolysis,CHEMBL3352817,CHEMBL3326698,nM,34.4,nM,34.4,"{'alogp': '5.23', 'aromatic_rings': 4, 'full_molformula': 'C28H29N3O3', 'full_mwt': '455.56', 'hba': 5, 'hbd': 2, 'heavy_atoms': 34, 'mw_freebase': '455.56', 'np_likeness_score': '-0.82', 'num_ro5_violations': 1, 'psa': '84.23', 'qed_weighted': '0.28', 'ro3_pass': 'N', 'rtb': 8}",7.46344155742847
Inhibition of human recombinant AChE assessed as dissociation constant for enzyme-inhibitor complex by Lineweaver-Burk plot,CHEMBL3351824,CHEMBL3322141,nM,80.4,uM,0.0804,"{'alogp': '5.08', 'aromatic_rings': 2, 'full_molformula': 'C27H40N4O', 'full_mwt': '436.64', 'hba': 4, 'hbd': 2, 'heavy_atoms': 32, 'mw_freebase': '436.64', 'np_likeness_score': '-1.25', 'num_ro5_violations': 1, 'psa': '57.26', 'qed_weighted': '0.51', 'ro3_pass': 'N', 'rtb': 10}",7.094743951251549
Inhibition of human recombinant AChE assessed as dissociation constant for enzyme-inhibitor-substrate complex by Lineweaver-Burk plot,CHEMBL3351824,CHEMBL3322141,nM,78.9,uM,0.0789,"{'alogp': '5.08', 'aromatic_rings': 2, 'full_molformula': 'C27H40N4O', 'full_mwt': '436.64', 'hba': 4, 'hbd': 2, 'heavy_atoms': 32, 'mw_freebase': '436.64', 'np_likeness_score': '-1.25', 'num_ro5_violations': 1, 'psa': '57.26', 'qed_weighted': '0.51', 'ro3_pass': 'N', 'rtb': 10}",7.102922996790579
Inhibition of human recombinant AChE assessed as dissociation constant for enzyme-inhibitor complex by Lineweaver-Burk plot,CHEMBL3351824,CHEMBL3322142,nM,199.0,uM,0.199,"{'alogp': '5.47', 'aromatic_rings': 2, 'full_molformula': 'C28H42N4O', 'full_mwt': '450.67', 'hba': 4, 'hbd': 2, 'heavy_atoms': 33, 'mw_freebase': '450.67', 'np_likeness_score': '-1.21', 'num_ro5_violations': 1, 'psa': '57.26', 'qed_weighted': '0.45', 'ro3_pass': 'N', 'rtb': 11}",6.701146923590294
Inhibition of human recombinant AChE assessed as dissociation constant for enzyme-inhibitor-substrate complex by Lineweaver-Burk plot,CHEMBL3351824,CHEMBL3322142,nM,328.0,uM,0.328,"{'alogp': '5.47', 'aromatic_rings': 2, 'full_molformula': 'C28H42N4O', 'full_mwt': '450.67', 'hba': 4, 'hbd': 2, 'heavy_atoms': 33, 'mw_freebase': '450.67', 'np_likeness_score': '-1.21', 'num_ro5_violations': 1, 'psa': '57.26', 'qed_weighted': '0.45', 'ro3_pass': 'N', 'rtb': 11}",6.484126156288321
Inhibition of human recombinant AChE assessed as dissociation constant for enzyme-inhibitor complex by Lineweaver-Burk plot,CHEMBL3351824,CHEMBL3322160,nM,4.1,uM,0.0041,"{'alogp': '4.48', 'aromatic_rings': 4, 'full_molformula': 'C28H29N3O4', 'full_mwt': '471.56', 'hba': 6, 'hbd': 3, 'heavy_atoms': 35, 'mw_freebase': '471.56', 'np_likeness_score': '-0.52', 'num_ro5_violations': 0, 'psa': '104.46', 'qed_weighted': '0.26', 'ro3_pass': 'N', 'rtb': 8}",8.387216143280265
Inhibition of human recombinant AChE assessed as dissociation constant for enzyme-inhibitor-substrate complex by Lineweaver-Burk plot,CHEMBL3351824,CHEMBL3322160,nM,23.4,uM,0.0234,"{'alogp': '4.48', 'aromatic_rings': 4, 'full_molformula': 'C28H29N3O4', 'full_mwt': '471.56', 'hba': 6, 'hbd': 3, 'heavy_atoms': 35, 'mw_freebase': '471.56', 'np_likeness_score': '-0.52', 'num_ro5_violations': 0, 'psa': '104.46', 'qed_weighted': '0.26', 'ro3_pass': 'N', 'rtb': 8}",7.6307841425898575
Inhibition of human recombinant AChE assessed as dissociation constant for enzyme-inhibitor complex by Lineweaver-Burk plot,CHEMBL3351824,CHEMBL3322161,nM,1940.0,uM,1.94,"{'alogp': '3.49', 'aromatic_rings': 4, 'full_molformula': 'C25H22N4O4S', 'full_mwt': '474.54', 'hba': 6, 'hbd': 4, 'heavy_atoms': 34, 'mw_freebase': '474.54', 'np_likeness_score': '-0.98', 'num_ro5_violations': 0, 'psa': '116.49', 'qed_weighted': '0.20', 'ro3_pass': 'N', 'rtb': 3}",5.7121982700697735
Inhibition of human recombinant AChE assessed as dissociation constant for enzyme-inhibitor-substrate complex by Lineweaver-Burk plot,CHEMBL3351824,CHEMBL3322161,nM,92800.0,uM,92.8,"{'alogp': '3.49', 'aromatic_rings': 4, 'full_molformula': 'C25H22N4O4S', 'full_mwt': '474.54', 'hba': 6, 'hbd': 4, 'heavy_atoms': 34, 'mw_freebase': '474.54', 'np_likeness_score': '-0.98', 'num_ro5_violations': 0, 'psa': '116.49', 'qed_weighted': '0.20', 'ro3_pass': 'N', 'rtb': 3}",4.032452023781138
Inhibition of human recombinant AChE assessed as dissociation constant for enzyme-inhibitor complex by Lineweaver-Burk plot,CHEMBL3351824,CHEMBL3322162,nM,2360.0,uM,2.36,"{'alogp': '3.64', 'aromatic_rings': 4, 'full_molformula': 'C27H22N4O5S', 'full_mwt': '514.56', 'hba': 8, 'hbd': 2, 'heavy_atoms': 37, 'mw_freebase': '514.56', 'np_likeness_score': '-0.75', 'num_ro5_violations': 1, 'psa': '125.10', 'qed_weighted': '0.31', 'ro3_pass': 'N', 'rtb': 4}",5.627087997029894
Inhibition of human recombinant AChE assessed as dissociation constant for enzyme-inhibitor-substrate complex by Lineweaver-Burk plot,CHEMBL3351824,CHEMBL3322162,nM,65300.0,uM,65.3,"{'alogp': '3.64', 'aromatic_rings': 4, 'full_molformula': 'C27H22N4O5S', 'full_mwt': '514.56', 'hba': 8, 'hbd': 2, 'heavy_atoms': 37, 'mw_freebase': '514.56', 'np_likeness_score': '-0.75', 'num_ro5_violations': 1, 'psa': '125.10', 'qed_weighted': '0.31', 'ro3_pass': 'N', 'rtb': 4}",4.185086818724926
Competitive inhibition of AChE (unknown origin) incubated for 25 mins by Lineweaver-Burk plot analysis,CHEMBL3352241,CHEMBL2158994,nM,7990.0,uM,7.99,"{'alogp': '3.52', 'aromatic_rings': 2, 'full_molformula': 'C19H21NO2', 'full_mwt': '295.38', 'hba': 3, 'hbd': 0, 'heavy_atoms': 22, 'mw_freebase': '295.38', 'np_likeness_score': '-0.55', 'num_ro5_violations': 0, 'psa': '29.54', 'qed_weighted': '0.58', 'ro3_pass': 'N', 'rtb': 7}",5.097453220686009
Non-competitive inhibition of AChE (unknown origin) incubated for 25 mins by Lineweaver-Burk plot analysis,CHEMBL3352241,CHEMBL2158994,nM,3520.0,uM,3.52,"{'alogp': '3.52', 'aromatic_rings': 2, 'full_molformula': 'C19H21NO2', 'full_mwt': '295.38', 'hba': 3, 'hbd': 0, 'heavy_atoms': 22, 'mw_freebase': '295.38', 'np_likeness_score': '-0.55', 'num_ro5_violations': 0, 'psa': '29.54', 'qed_weighted': '0.58', 'ro3_pass': 'N', 'rtb': 7}",5.453457336521869
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL446060,mM/min,17.0,mM/min,17.0,"{'alogp': '2.19', 'aromatic_rings': 1, 'full_molformula': 'C11H15NO3', 'full_mwt': '209.25', 'hba': 3, 'hbd': 1, 'heavy_atoms': 15, 'mw_freebase': '209.25', 'np_likeness_score': '-0.44', 'num_ro5_violations': 0, 'psa': '47.56', 'qed_weighted': '0.83', 'ro3_pass': 'Y', 'rtb': 3}",7.769551078621726
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL465018,mM/min,111.0,mM/min,111.0,"{'alogp': '1.91', 'aromatic_rings': 1, 'full_molformula': 'C11H13NO4', 'full_mwt': '223.23', 'hba': 4, 'hbd': 1, 'heavy_atoms': 16, 'mw_freebase': '223.23', 'np_likeness_score': '0.41', 'num_ro5_violations': 0, 'psa': '56.79', 'qed_weighted': '0.79', 'ro3_pass': 'N', 'rtb': 1}",6.954677021213342
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL416081,mM/min,428.0,mM/min,428.0,"{'alogp': '2.12', 'aromatic_rings': 1, 'full_molformula': 'C12H15NO3', 'full_mwt': '221.26', 'hba': 3, 'hbd': 1, 'heavy_atoms': 16, 'mw_freebase': '221.26', 'np_likeness_score': '0.25', 'num_ro5_violations': 0, 'psa': '47.56', 'qed_weighted': '0.79', 'ro3_pass': 'Y', 'rtb': 1}",6.368556230986828
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL2046821,mM/min,126.0,mM/min,126.0,"{'alogp': '2.70', 'aromatic_rings': 1, 'full_molformula': 'C12H17NO2', 'full_mwt': '207.27', 'hba': 2, 'hbd': 1, 'heavy_atoms': 15, 'mw_freebase': '207.27', 'np_likeness_score': '-0.78', 'num_ro5_violations': 0, 'psa': '38.33', 'qed_weighted': '0.77', 'ro3_pass': 'Y', 'rtb': 1}",6.899629454882437
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3401206,mM/min,805.0,mM/min,805.0,"{'alogp': '1.57', 'aromatic_rings': 1, 'full_molformula': 'C9H15N3O2', 'full_mwt': '197.24', 'hba': 4, 'hbd': 1, 'heavy_atoms': 14, 'mw_freebase': '197.24', 'np_likeness_score': '-0.91', 'num_ro5_violations': 0, 'psa': '56.15', 'qed_weighted': '0.80', 'ro3_pass': 'N', 'rtb': 3}",6.094204119632131
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL91732,mM/min,6.5,mM/min,6.5,"{'alogp': '1.47', 'aromatic_rings': 0, 'full_molformula': 'C7H14N2O2S', 'full_mwt': '190.27', 'hba': 4, 'hbd': 1, 'heavy_atoms': 12, 'mw_freebase': '190.27', 'np_likeness_score': '-0.39', 'num_ro5_violations': 0, 'psa': '50.69', 'qed_weighted': '0.42', 'ro3_pass': 'N', 'rtb': 3}",8.187086643357144
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3401207,mM/min,1.22,mM/min,1.22,"{'alogp': '0.28', 'aromatic_rings': 1, 'full_molformula': 'C7H10N2O3', 'full_mwt': '170.17', 'hba': 4, 'hbd': 0, 'heavy_atoms': 12, 'mw_freebase': '170.17', 'np_likeness_score': '-0.89', 'num_ro5_violations': 0, 'psa': '55.45', 'qed_weighted': '0.56', 'ro3_pass': 'N', 'rtb': 0}",8.913640169325252
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3401208,mM/min,103.0,mM/min,103.0,"{'alogp': '0.85', 'aromatic_rings': 1, 'full_molformula': 'C9H12N2O3', 'full_mwt': '196.21', 'hba': 4, 'hbd': 0, 'heavy_atoms': 14, 'mw_freebase': '196.21', 'np_likeness_score': '-0.66', 'num_ro5_violations': 0, 'psa': '55.45', 'qed_weighted': '0.67', 'ro3_pass': 'N', 'rtb': 1}",6.987162775294828
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3401209,mM/min,561.0,mM/min,561.0,"{'alogp': '1.09', 'aromatic_rings': 1, 'full_molformula': 'C9H14N2O3', 'full_mwt': '198.22', 'hba': 4, 'hbd': 0, 'heavy_atoms': 14, 'mw_freebase': '198.22', 'np_likeness_score': '-0.58', 'num_ro5_violations': 0, 'psa': '55.45', 'qed_weighted': '0.68', 'ro3_pass': 'N', 'rtb': 1}",6.251037138743839
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3401210,mM/min,233.0,mM/min,233.0,"{'alogp': '1.24', 'aromatic_rings': 1, 'full_molformula': 'C10H14N2O3', 'full_mwt': '210.23', 'hba': 4, 'hbd': 0, 'heavy_atoms': 15, 'mw_freebase': '210.23', 'np_likeness_score': '-0.60', 'num_ro5_violations': 0, 'psa': '55.45', 'qed_weighted': '0.70', 'ro3_pass': 'N', 'rtb': 1}",6.632644078973981
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3401211,mM/min,2170.0,mM/min,2170.0,"{'alogp': '1.48', 'aromatic_rings': 1, 'full_molformula': 'C10H16N2O3', 'full_mwt': '212.25', 'hba': 4, 'hbd': 0, 'heavy_atoms': 15, 'mw_freebase': '212.25', 'np_likeness_score': '-0.64', 'num_ro5_violations': 0, 'psa': '55.45', 'qed_weighted': '0.75', 'ro3_pass': 'N', 'rtb': 2}",5.663540266151471
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3401212,mM/min,677.0,mM/min,677.0,"{'alogp': '1.63', 'aromatic_rings': 1, 'full_molformula': 'C11H16N2O3', 'full_mwt': '224.26', 'hba': 4, 'hbd': 0, 'heavy_atoms': 16, 'mw_freebase': '224.26', 'np_likeness_score': '-0.60', 'num_ro5_violations': 0, 'psa': '55.45', 'qed_weighted': '0.73', 'ro3_pass': 'N', 'rtb': 1}",6.169411331314856
